PARLIAMENTARY_CONSTITUENCY_CODE,STATE,PARLIAMENTARY_CONSTITUENCY_NAME,WINNING_PARTY_MAIN,WINNING_PARTY
P001,PERLIS,PADANG BESAR,BN ,BN - UMNO
P002,PERLIS,KANGAR,BN ,BN - UMNO
P003,PERLIS,ARAU,BN ,BN - UMNO
P004,KEDAH,LANGKAWI,BN ,BN - UMNO
P005,KEDAH,JERLUN,BN ,BN - UMNO
P006,KEDAH,KUBANG PASU,BN ,BN - UMNO
P007,KEDAH,PADANG TERAP,PAS,PAS
P008,KEDAH,POKOK SENA,PAS,PAS
P009,KEDAH,ALOR STAR,BN ,BN - MCA
P010,KEDAH,KUALA KEDAH,PKR,PKR
P011,KEDAH,PENDANG,PAS,PAS
P012,KEDAH,JERAI,PAS,PAS
P013,KEDAH,SIK,PAS,PAS
P014,KEDAH,MERBOK,PKR,PKR
P015,KEDAH,SUNGAI PETANI,PKR,PKR
P016,KEDAH,BALING,PAS,PAS
P017,KEDAH,PADANG SERAI,PKR,PKR
P018,KEDAH,KULIM-BANDAR BAHARU,PKR,PKR
P019,KELANTAN,TUMPAT,PAS,PAS
P020,KELANTAN,PENGKALAN CHEPA,PAS,PAS
P021,KELANTAN,KOTA BHARU,PAS,PAS
P022,KELANTAN,PASIR MAS,PAS,PAS
P023,KELANTAN,RANTAU PANJANG,PAS,PAS
P024,KELANTAN,KUBANG KERIAN,PAS,PAS
P025,KELANTAN,BACHOK,PAS,PAS
P026,KELANTAN,KETEREH,PKR,PKR
P027,KELANTAN,TANAH MERAH,PKR,PKR
P028,KELANTAN,PASIR PUTEH,PAS,PAS
P029,KELANTAN,MACHANG,PKR,PKR
P030,KELANTAN,JELI,BN ,BN - UMNO
P031,KELANTAN,KUALA KRAI,PAS,PAS
P032,KELANTAN,GUA MUSANG,BN ,BN - UMNO
P033,TERENGGANU,BESUT,BN ,BN - UMNO
P034,TERENGGANU,SETIU,BN ,BN - UMNO
P035,TERENGGANU,KUALA NERUS,BN ,BN - UMNO
P036,TERENGGANU,KUALA TERENGGANU,BN ,BN - UMNO
P037,TERENGGANU,MARANG,PAS,PAS
P038,TERENGGANU,HULU TERENGGANU,BN ,BN - UMNO
P039,TERENGGANU,DUNGUN,BN ,BN - UMNO
P040,TERENGGANU,KEMAMAN,BN ,BN - UMNO
P041,P.PINANG,KEPALA BATAS,BN ,BN - UMNO
P042,P.PINANG,TASEK GELUGOR,BN ,BN - UMNO
P043,P.PINANG,BAGAN,DAP,DAP
P044,P.PINANG,PERMATANG PAUH,PKR,PKR
P045,P.PINANG,BUKIT MERTAJAM,DAP,DAP
P046,P.PINANG,BATU KAWAN,DAP,DAP
P047,P.PINANG,NIBONG TEBAL,PKR,PKR
P048,P.PINANG,BUKIT BENDERA,DAP,DAP
P049,P.PINANG,TANJONG,DAP,DAP
P050,P.PINANG,JELUTONG,DAP,DAP
P051,P.PINANG,BUKIT GELUGOR,DAP,DAP
P052,P.PINANG,BAYAN BARU,PKR,PKR
P053,P.PINANG,BALIK PULAU,PKR,PKR
P054,PERAK,GERIK,BN ,BN - GERAKAN
P055,PERAK,LENGGONG,BN ,BN - UMNO
P056,PERAK,LARUT,BN ,BN - UMNO
P057,PERAK,PARIT BUNTAR,PAS,PAS
P058,PERAK,BAGAN SERAI,PKR,PKR
P059,PERAK,BUKIT GANTANG,PAS,PAS
