PARLIAMENTARY_CONSTITUENCY_CODE,STATE,PARLIAMENTARY_CONSTITUENCY_NAME,WINNING_PARTY_MAIN,WINNING_PARTY
P001,PERLIS,PADANG BESAR,BN,BN - UMNO
P002,PERLIS,KANGAR,BN,BN - UMNO
P003,PERLIS,ARAU,BN,BN - UMNO
P004,KEDAH,LANGKAWI,BN,BN - UMNO
P005,KEDAH,JERLUN,BN,BN - UMNO
P006,KEDAH,KUBANG PASU,BN,BN - UMNO
P007,KEDAH,PADANG TERAP,BN,BN - UMNO
P008,KEDAH,POKOK SENA,BN,BN - UMNO
P009,KEDAH,ALOR SETAR,BN,BN - MCA
P010,KEDAH,KUALA KEDAH,BN,BN - UMNO
P011,KEDAH,PENDANG,BN,BN - UMNO
P012,KEDAH,YAN,BN,BN - UMNO
P013,KEDAH,SIK,BN,BN - UMNO
P014,KEDAH,MERBOK,BN,BN - UMNO
P015,KEDAH,SUNGAI PETANI,BN,BN - UMNO
P016,KEDAH,BALING,BN,BN - UMNO
P017,KEDAH,PADANG SERAI,BN,BN - MCA
P018,KEDAH,KULIM - BANDAR BAHARU,BN,BN - UMNO
P019,KELANTAN,TUMPAT,APU,APU - PAS
P020,KELANTAN,PENGKALAN CHEPA,APU,APU - PAS
P021,KELANTAN,KOTA BHARU,S46,S46
P022,KELANTAN,PASIR MAS,S46,S46
P023,KELANTAN,RANTAU PANJANG,APU,APU - PAS
P024,KELANTAN,KUBANG KERIAN,APU,APU - PAS
P025,KELANTAN,BACHOK,APU,APU - PAS
P026,KELANTAN,PERINGAT,BN,BN - UMNO
P027,KELANTAN,TANAH MERAH,S46,S46
P028,KELANTAN,PASIR PUTEH,S46,S46
P029,KELANTAN,MACHANG,S46,S46
P030,KELANTAN,JELI,BN,BN - UMNO
P031,KELANTAN,KUALA KRAI,APU,APU - PAS
P032,KELANTAN,GUA MUSANG,S46,S46
P033,TERENGGANU,BESUT,BN,BN - UMNO
P034,TERENGGANU,SETIU,BN,BN - UMNO
P035,TERENGGANU,KUALA NERUS,BN,BN - UMNO
P036,TERENGGANU,KUALA TERENGGANU,BN,BN - UMNO
P037,TERENGGANU,MARANG,APU,APU - PAS
P038,TERENGGANU,HULU TERENGGANU,BN,BN - UMNO
P039,TERENGGANU,DUNGUN,BN,BN - UMNO
P040,TERENGGANU,KEMAMAN,BN,BN - UMNO
P041,P.PINANG,KEPALA BATAS,BN,BN - UMNO
P042,P.PINANG,TASEK GELUGOR,BN,BN - UMNO
P043,P.PINANG,BAGAN,DAP,DAP
P044,P.PINANG,PERMATANG PAUH,BN,BN - UMNO
P045,P.PINANG,BUKIT MERTAJAM,BN,BN - MCA
P046,P.PINANG,NIBONG TEBAL,BN,BN - GERAKAN
P047,P.PINANG,BUKIT BENDERA,BN,BN - GERAKAN
P048,P.PINANG,TANJONG,DAP,DAP
P049,P.PINANG,JELUTONG,DAP,DAP
P050,P.PINANG,BAYAN BARU,BN,BN - MCA
P051,P.PINANG,BALIK PULAU,BN,BN - UMNO
P052,PERAK,GERIK,BN,BN - UMNO
P053,PERAK,LARUT,BN,BN - UMNO
P054,PERAK,PARIT BUNTAR,BN,BN - UMNO
P055,PERAK,BAGAN SERAI,BN,BN - UMNO
P056,PERAK,BUKIT GANTANG,BN,BN - UMNO
P057,PERAK,TAIPING,BN,BN - GERAKAN
P058,PERAK,CHENDEROH,BN,BN - UMNO
