PARLIAMENTARY_CONSTITUENCY_CODE,STATE,PARLIAMENTARY_CONSTITUENCY_NAME,WINNING_PARTY_MAIN,WINNING_PARTY
P001,PERLIS,PADANG BESAR,BN,BN - UMNO
P002,PERLIS,KANGAR,BN,BN - UMNO
P003,PERLIS,ARAU,BN,BN - UMNO
P004,KEDAH,LANGKAWI,BN,BN - UMNO
P005,KEDAH,JERLUN,BA,BA - PAS
P006,KEDAH,KUBANG PASU,BN,BN - UMNO
P007,KEDAH,PADANG TERAP,BA,BA - PAS
P008,KEDAH,POKOK SENA,BA,BA - PAS
P009,KEDAH,ALOR SETAR,BN,BN - MCA
P010,KEDAH,KUALA KEDAH,BA,BA - PAS
P011,KEDAH,PENDANG,BA,BA - PAS
P012,KEDAH,YAN,BA,BA - PAS
P013,KEDAH,SIK,BA,BA - PAS
P014,KEDAH,MERBOK,BN,BN - UMNO
P015,KEDAH,SUNGAI PETANI,BN,BN - UMNO
P016,KEDAH,BALING,BA,BA - PAS
P017,KEDAH,PADANG SERAI,BN,BN - MCA
P018,KEDAH,KULIM - BANDAR BAHARU,BN,BN - UMNO
P019,KELANTAN,TUMPAT,BA,BA - PAS
P020,KELANTAN,PENGKALAN CHEPA,BA,BA - PAS
P021,KELANTAN,KOTA BHARU,BA,BA - PKN
P022,KELANTAN,PASIR MAS,BA,BA - PAS
P023,KELANTAN,RANTAU PANJANG,BA,BA - PAS
P024,KELANTAN,KUBANG KERIAN,BA,BA - PAS
P025,KELANTAN,BACHOK,BA,BA - PAS
P026,KELANTAN,PERINGAT,BA,BA - PKN
P027,KELANTAN,TANAH MERAH,BA,BA - PKN
P028,KELANTAN,PASIR PUTEH,BA,BA - PAS
P029,KELANTAN,MACHANG,BA,BA - PAS
P030,KELANTAN,JELI,BA,BA - PAS
P031,KELANTAN,KUALA KRAI,BA,BA - PAS
P032,KELANTAN,GUA MUSANG,BN,BN - UMNO
P033,TERENGGANU,BESUT,BA,BA - PAS
P034,TERENGGANU,SETIU,BA,BA - PAS
P035,TERENGGANU,KUALA NERUS,BA,BA - PAS
P036,TERENGGANU,KUALA TERENGGANU,BA,BA - PAS
P037,TERENGGANU,MARANG,BA,BA - PAS
P038,TERENGGANU,HULU TERENGGANU,BA,BA - PAS
P039,TERENGGANU,DUNGUN,BA,BA - PAS
P040,TERENGGANU,KEMAMAN,BA,BA - PKN
P041,P.PINANG,KEPALA BATAS,BN,BN - UMNO
P042,P.PINANG,TASEK GELUGOR,BN,BN - UMNO
P043,P.PINANG,BAGAN,BA,BA - DAP
P044,P.PINANG,PERMATANG PAUH,BA,BA - PKN
P045,P.PINANG,BUKIT MERTAJAM,BA,BA - DAP
P046,P.PINANG,NIBONG TEBAL,BA,BA - DAP
P047,P.PINANG,BUKIT BENDERA,BN,BN - GERAKAN
P048,P.PINANG,TANJONG,BA,BA - DAP
P049,P.PINANG,JELUTONG,BN,BN - GERAKAN
P050,P.PINANG,BAYAN BARU,BN,BN - MCA
P051,P.PINANG,BALIK PULAU,BN,BN - UMNO
P052,PERAK,GERIK,BN,BN - UMNO
P053,PERAK,LARUT,BN,BN - UMNO
P054,PERAK,PARIT BUNTAR,BA,BA - PAS
P055,PERAK,BAGAN SERAI,BN,BN - UMNO
P056,PERAK,BUKIT GANTANG,BN,BN - UMNO
P057,PERAK,TAIPING,BN,BN - GERAKAN
