PARLIAMENTARY_CONSTITUENCY_CODE,STATE,PARLIAMENTARY_CONSTITUENCY_NAME,WINNING_PARTY_MAIN,WINNING_PARTY
P001,PERLIS,PADANG BESAR,BN,BN - UMNO
P002,PERLIS,KANGAR,BN,BN - UMNO
P003,PERLIS,ARAU,BN,BN - UMNO
P004,KEDAH,LANGKAWI,BN,BN - UMNO
P005,KEDAH,JERLUN,BN,BN - UMNO
P006,KEDAH,KUBANG PASU,BN,BN - UMNO
P007,KEDAH,PADANG TERAP,BN,BN - UMNO
P008,KEDAH,POKOK SENA,PR,PR - PAS
P009,KEDAH,ALOR STAR,PR,PR - PKR
P010,KEDAH,KUALA KEDAH,PR,PR - PKR
P011,KEDAH,PENDANG,BN,BN - UMNO
P012,KEDAH,JERAI,BN,BN - UMNO
P013,KEDAH,SIK,BN,BN - UMNO
P014,KEDAH,MERBOK,BN,BN - UMNO
P015,KEDAH,SUNGAI PETANI,PR,PR - PKR
P016,KEDAH,BALING,BN,BN - UMNO
P017,KEDAH,PADANG SERAI,PR,PR - PKR
P018,KEDAH,KULIM-BANDAR BAHARU,BN,BN - UMNO
P019,KELANTAN,TUMPAT,PR,PR - PAS
P020,KELANTAN,PENGKALAN CHEPA,PR,PR - PAS
P021,KELANTAN,KOTA BHARU,PR,PR - PAS
P022,KELANTAN,PASIR MAS,PR,PR - PAS
P023,KELANTAN,RANTAU PANJANG,PR,PR - PAS
P024,KELANTAN,KUBANG KERIAN,PR,PR - PAS
P025,KELANTAN,BACHOK,PR,PR - PAS
P026,KELANTAN,KETEREH,BN,BN - UMNO
P027,KELANTAN,TANAH MERAH,BN,BN - UMNO
P028,KELANTAN,PASIR PUTEH,PR,PR - PAS
P029,KELANTAN,MACHANG,BN,BN - UMNO
P030,KELANTAN,JELI,BN,BN - UMNO
P031,KELANTAN,KUALA KRAI,PR,PR - PAS
P032,KELANTAN,GUA MUSANG,BN,BN - UMNO
P033,TERENGGANU,BESUT,BN,BN - UMNO
P034,TERENGGANU,SETIU,BN,BN - UMNO
P035,TERENGGANU,KUALA NERUS,PR,PR - PAS
P036,TERENGGANU,KUALA TERENGGANU,PR,PR - PAS
P037,TERENGGANU,MARANG,PR,PR - PAS
P038,TERENGGANU,HULU TERENGGANU,BN,BN - UMNO
P039,TERENGGANU,DUNGUN,PR,PR - PAS
P040,TERENGGANU,KEMAMAN,BN,BN - UMNO
P041,P.PINANG,KEPALA BATAS,BN,BN - UMNO
P042,P.PINANG,TASEK GELUGOR,BN,BN - UMNO
P043,P.PINANG,BAGAN,PR,PR - DAP
P044,P.PINANG,PERMATANG PAUH,PR,PR - PKR
P045,P.PINANG,BUKIT MERTAJAM,PR,PR - DAP
P046,P.PINANG,BATU KAWAN,PR,PR - DAP
P047,P.PINANG,NIBONG TEBAL,PR,PR - PKR
P048,P.PINANG,BUKIT BENDERA,PR,PR - DAP
P049,P.PINANG,TANJONG,PR,PR - DAP
P050,P.PINANG,JELUTONG,PR,PR - DAP
P051,P.PINANG,BUKIT GELUGOR,PR,PR - DAP
P052,P.PINANG,BAYAN BARU,PR,PR - PKR
P053,P.PINANG,BALIK PULAU,BN,BN - UMNO
P054,PERAK,GERIK,BN,BN - UMNO
P055,PERAK,LENGGONG,BN,BN - UMNO
P056,PERAK,LARUT,BN,BN - UMNO
P057,PERAK,PARIT BUNTAR,PR,PR - PAS
